Class,Accuracy,Precision,Recall,F1 Score,Epoch
1,0.9992,0.9947322212467077,0.9982378854625551,0.9964819700967459,16
2,0.9981,0.9884281581485053,0.9932170542635659,0.9908168197196713,16
3,0.9988,0.9960238568588469,0.9920792079207921,0.994047619047619,16
4,0.9981,0.9948612538540597,0.9857433808553971,0.9902813299232737,16
5,0.9989,0.9943883277216611,0.9932735426008968,0.9938306225462703,16
6,0.9987,0.9927007299270073,0.9937369519832986,0.9932185706833594,16
7,0.9983,0.9912536443148688,0.9922178988326849,0.9917355371900827,16
8,0.9989,0.995880535530381,0.9928131416837782,0.994344473007712,16
9,0.9979,0.9862204724409449,0.9930624380574826,0.9896296296296296,16
0,0.9992,0.994908350305499,0.996938775510204,0.9959225280326197,17
1,0.9993,0.9938704028021016,1.0,0.9969257795344751,17
2,0.9987,0.9932236205227493,0.9941860465116279,0.9937046004842616,17
3,0.9987,0.9930761622156281,0.994059405940594,0.9935675408213757,17
4,0.9984,0.9948770491803278,0.9887983706720977,0.9918283963227783,17
5,0.9986,0.9910514541387024,0.9932735426008968,0.9921612541993281,17
6,0.9987,0.9947643979057592,0.9916492693110647,0.9932043910088867,17
7,0.9981,0.991236611489776,0.9902723735408561,0.9907542579075427,17
8,0.9989,0.9969040247678018,0.9917864476386037,0.9943386515697374,17
9,0.9976,0.9871414441147379,0.9890981169474727,0.9881188118811881,17
0,0.9991,0.9918946301925026,0.9989795918367347,0.9954245043213016,18
1,0.9992,0.9947322212467077,0.9982378854625551,0.9964819700967459,18
2,0.999,0.9932432432432432,0.997093023255814,0.995164410058027,18
3,0.9985,0.9950248756218906,0.9900990099009901,0.9925558312655087,18
4,0.9985,0.9948822927328557,0.9898167006109979,0.9923430321592648,18
5,0.9982,0.9888143176733781,0.9910313901345291,0.9899216125419933,18
6,0.9989,0.9958115183246073,0.9926931106471816,0.9942498693152118,18
7,0.9987,0.994157740993184,0.9931906614785992,0.9936739659367396,18
8,0.9989,0.9938461538461538,0.9948665297741273,0.9943560800410466,18
9,0.9978,0.991044776119403,0.9871159563924677,0.9890764647467727,18
0,0.9993,0.9949135300101729,0.9979591836734694,0.9964340295466124,19
1,0.9991,0.9947275922671354,0.9973568281938326,0.9960404751429829,19
2,0.9989,0.9951503394762367,0.9941860465116279,0.9946679592825981,19
3,0.9987,0.9940535183349851,0.9930693069306931,0.9935611688954927,19
4,0.9985,0.9958974358974358,0.9887983706720977,0.9923352069494122,19
5,0.998,0.983370288248337,0.9943946188340808,0.9888517279821628,19
6,0.999,0.9947807933194155,0.9947807933194155,0.9947807933194155,19
7,0.9979,0.9864734299516909,0.9931906614785992,0.9898206495395055,19
8,0.9987,0.9958720330237358,0.9907597535934292,0.993309315491508,19
9,0.9973,0.991,0.9821605550049554,0.9865604778496764,19
